job_code	act_type	obj_type	obj_detail
01010101	관리·운영	숫자·문서	
01010102	관리·운영	숫자·문서	
01010103	관리·운영	사람	고객·손님
01010201	관리·운영	숫자·문서	
01010202	관리·운영	사람	고객·손님
02010101	관리·운영	숫자·문서	
02010102	분석·연구	숫자·문서	
02010201	판매·설득	사람	고객·손님
02010202	표현·창작	창작물	
02010301	분석·연구	컴퓨터·데이터	
02010302	관리·운영	사람	고객·손님
02010303	분석·연구	숫자·문서	
02010304	관리·운영	숫자·문서	
02020101	관리·운영	숫자·문서	
02020102	관리·운영	숫자·문서	
02020103	관리·운영	숫자·문서	
02020104	관리·운영	숫자·문서	
02020201	관리·운영	사람	직원·동료
02020202	관리·운영	사람	직원·동료
02020301	관리·운영	사람	직원·동료
02020302	관리·운영	숫자·문서	
02030101	분석·연구	숫자·문서	
02030102	관리·운영	숫자·문서	
02030201	분석·연구	숫자·문서	
02030202	분석·연구	숫자·문서	
02040101	관리·운영	숫자·문서	
02040102	관리·운영	숫자·문서	
02040103	관리·운영	숫자·문서	
02040104	관리·운영	숫자·문서	
02040201	분석·연구	숫자·문서	
02040302	관리·운영	숫자·문서	
02040303	관리·운영	숫자·문서	
02040305	관리·운영	숫자·문서	
02040306	관리·운영	숫자·문서	
02040307	관리·운영	숫자·문서	
03010101	관리·운영	숫자·문서	
03010102	판매·설득	사람	고객·손님
03010103	판매·설득	사람	고객·손님
03010104	판매·설득	사람	고객·손님
03010105	판매·설득	사람	고객·손님
03010201	분석·연구	숫자·문서	
03010202	분석·연구	숫자·문서	
03010203	분석·연구	숫자·문서	
03010204	분석·연구	숫자·문서	
03010301	분석·연구	숫자·문서	
03010302	분석·연구	숫자·문서	
03010303	분석·연구	숫자·문서	
03010401	관리·운영	숫자·문서	
03010402	관리·운영	숫자·문서	
03010403	관리·운영	숫자·문서	
03010404	분석·연구	숫자·문서	
03010405	관리·운영	숫자·문서	
03010501	관리·운영	컴퓨터·데이터	
03010502	판매·설득	사람	고객·손님
03010503	분석·연구	컴퓨터·데이터	
03010601	운전·조작	컴퓨터·데이터	
03010602	분석·연구	숫자·문서	
03010603	분석·연구	숫자·문서	
03010604	관리·운영	숫자·문서	
03010605	판매·설득	숫자·문서	
03010606	관리·운영	숫자·문서	
03020101	분석·연구	컴퓨터·데이터	
03020102	분석·연구	숫자·문서	
03020103	분석·연구	숫자·문서	
03020201	판매·설득	사람	고객·손님
03020202	분석·연구	숫자·문서	
03020203	관리·운영	숫자·문서	
03020204	분석·연구	숫자·문서	
03020301	분석·연구	숫자·문서	
03020302	분석·연구	기계·설비	
03020303	분석·연구	숫자·문서	
04020201	관리·운영	숫자·문서	
04020202	가르치기	사람	학습자
04030101	가르치기	사람	학습자
04030102	가르치기	사람	직원·동료
04030103	분석·연구	숫자·문서	
04030201	만들기	컴퓨터·데이터	
04030202	표현·창작	창작물	
04030203	관리·운영	컴퓨터·데이터	
05010201	관리·운영	숫자·문서	
05010202	분석·연구	숫자·문서	
05010203	분석·연구	컴퓨터·데이터	
05010204	만들기	숫자·문서	
05020101	관리·운영	기계·설비	
05020102	만들기	기계·설비	
05020103	돕기·돌봄	사람	환자·장애인
05020104	관리·운영	기계·설비	
05020105	운전·조작	기계·설비	
05020106	관리·운영	기계·설비	
05020107	분석·연구	기계·설비	
05020201	고치기·정비	기계·설비	
05020202	관리·운영	숫자·문서	
05020203	관리·운영	숫자·문서	
05020301	분석·연구	컴퓨터·데이터	
05020302	만들기	컴퓨터·데이터	
06010101	고치기·정비	기계·설비	
06010108	돕기·돌봄	사람	어르신
06010109	만들기	창작물	
06010110	돕기·돌봄	사람	환자·장애인
06010113	분석·연구	사람	환자·장애인
06010114	분석·연구	컴퓨터·데이터	
06010201	관리·운영	숫자·문서	
06010202	돕기·돌봄	사람	고객·손님
06010203	가르치기	사람	학습자
06010204	고치기·정비	기계·설비	
06010205	관리·운영	자연·생물	
07010101	분석·연구	사람	환자·장애인
07010102	관리·운영	사람	직원·동료
07010103	돕기·돌봄	사람	환자·장애인
07010201	관리·운영	사람	환자·장애인
07010202	돕기·돌봄	사람	환자·장애인
07010203	돕기·돌봄	사람	환자·장애인
07010204	관리·운영	사람	환자·장애인
07010205	관리·운영	사람	직원·동료
07020101	판매·설득	사람	고객·손님
07020102	판매·설득	사람	고객·손님
07020103	판매·설득	사람	고객·손님
07020201	가르치기	사람	아동·청소년
07020202	돕기·돌봄	사람	아동·청소년
07020203	가르치기	사람	아동·청소년
07020301	돕기·돌봄	사람	고객·손님
07030101	돕기·돌봄	사람	아동·청소년
07030102	돕기·돌봄	사람	아동·청소년
07030103	돕기·돌봄	사람	아동·청소년
08010101	관리·운영	창작물	
08010102	관리·운영	숫자·문서	
08010103	관리·운영	숫자·문서	
08010104	관리·운영	컴퓨터·데이터	
08010201	표현·창작	창작물	
08010202	표현·창작	창작물	
08010301	표현·창작	창작물	
08010302	운전·조작	기계·설비	
08010303	운전·조작	기계·설비	
08010304	운전·조작	기계·설비	
08010305	표현·창작	창작물	
08010306	관리·운영	사람	직원·동료
08010307	관리·운영	기계·설비	
08010308	만들기	창작물	
08010309	만들기	창작물	
08010310	표현·창작	창작물	
08010311	관리·운영	사람	고객·손님
08010401	관리·운영	창작물	
08010402	고치기·정비	창작물	
08010403	분석·연구	창작물	
08020101	표현·창작	창작물	
08020102	표현·창작	창작물	
08020103	표현·창작	창작물	
08020104	표현·창작	컴퓨터·데이터	
08020105	표현·창작	창작물	
08020106	분석·연구	사람	고객·손님
08020107	표현·창작	창작물	
08020108	표현·창작	창작물	
08020109	표현·창작	창작물	
08020110	표현·창작	창작물	
08020111	표현·창작	창작물	
08020112	표현·창작	창작물	
08030101	관리·운영	창작물	
08030201	표현·창작	창작물	
08030202	표현·창작	창작물	
08030203	표현·창작	창작물	
08030204	표현·창작	창작물	
08030205	표현·창작	창작물	
08030206	표현·창작	창작물	
08030207	표현·창작	창작물	
08030208	표현·창작	창작물	
08030209	표현·창작	창작물	
08030210	운전·조작	기계·설비	
08030211	만들기	창작물	
08030212	표현·창작	창작물	
08030301	판매·설득	창작물	
08030302	관리·운영	창작물	
08030303	관리·운영	창작물	
08030304	관리·운영	창작물	
08030305	관리·운영	창작물	
08030306	관리·운영	창작물	
08030307	관리·운영	창작물	
08030308	관리·운영	창작물	
08030309	관리·운영	창작물	
08030401	표현·창작	창작물	
08030402	표현·창작	창작물	
08030403	만들기	창작물	
08030404	만들기	창작물	
08030405	표현·창작	창작물	
08030406	표현·창작	창작물	
08030407	표현·창작	창작물	
09010101	운전·조작	기계·설비	
09010102	운전·조작	기계·설비	
09010103	만들기	창작물	
09020101	관리·운영	기계·설비	
09020102	관리·운영	컴퓨터·데이터	
09020103	운전·조작	기계·설비	
09020104	운전·조작	기계·설비	
09020201	고치기·정비	기계·설비	
09020202	고치기·정비	기계·설비	
09020203	고치기·정비	기계·설비	
09020204	고치기·정비	기계·설비	
09030101	운전·조작	기계·설비	
09030102	운전·조작	기계·설비	
09030103	운전·조작	컴퓨터·데이터	
09030104	운전·조작	기계·설비	
09030105	운전·조작	기계·설비	
09030106	관리·운영	기계·설비	
09030107	고치기·정비	기계·설비	
09030201	분석·연구	숫자·문서	
09040101	운전·조작	기계·설비	
09040102	운전·조작	기계·설비	
09040103	운전·조작	기계·설비	
09040104	운전·조작	기계·설비	
09040105	운전·조작	기계·설비	
09040201	관리·운영	기계·설비	
09040202	관리·운영	컴퓨터·데이터	
09040203	관리·운영	기계·설비	
09040204	돕기·돌봄	사람	고객·손님
09040205	돕기·돌봄	사람	고객·손님
09040206	관리·운영	숫자·문서	
09040301	고치기·정비	기계·설비	
10010101	판매·설득	사람	고객·손님
10010102	판매·설득	사람	고객·손님
10020101	관리·운영	숫자·문서	
10020102	판매·설득	사람	고객·손님
10020103	판매·설득	숫자·문서	
10020201	관리·운영	기계·설비	
10020202	관리·운영	기계·설비	
10020203	관리·운영	숫자·문서	
10020301	판매·설득	사람	고객·손님
10020302	분석·연구	컴퓨터·데이터	
10020401	분석·연구	숫자·문서	
10020402	분석·연구	숫자·문서	
10020403	분석·연구	컴퓨터·데이터	
10030101	판매·설득	창작물	
10030102	판매·설득	컴퓨터·데이터	
10030201	판매·설득	사람	고객·손님
10030202	판매·설득	사람	고객·손님
10030301	판매·설득	자연·생물	
11010101	돕기·돌봄	사람	고객·손님
11010102	돕기·돌봄	사람	고객·손님
11020101	고치기·정비	기계·설비	
11020102	돕기·돌봄	사람	고객·손님
12010101	만들기	사람	고객·손님
12010102	돕기·돌봄	사람	고객·손님
12010103	돕기·돌봄	사람	고객·손님
12010104	돕기·돌봄	사람	고객·손님
12010105	돕기·돌봄	사람	고객·손님
12020101	판매·설득	사람	고객·손님
12020102	관리·운영	사람	고객·손님
12020103	관리·운영	기계·설비	
12020104	표현·창작	창작물	
12020201	돕기·돌봄	사람	고객·손님
12020202	돕기·돌봄	사람	고객·손님
12030101	분석·연구	숫자·문서	
12030102	판매·설득	사람	고객·손님
12030103	가르치기	사람	고객·손님
12030104	가르치기	사람	고객·손님
12030105	돕기·돌봄	사람	고객·손님
12030201	관리·운영	숫자·문서	
12030202	관리·운영	기계·설비	
12030203	관리·운영	기계·설비	
12030204	관리·운영	사람	고객·손님
12030205	돕기·돌봄	사람	고객·손님
12030301	관리·운영	숫자·문서	
12030302	관리·운영	숫자·문서	
12030303	관리·운영	숫자·문서	
12030401	관리·운영	숫자·문서	
12030402	관리·운영	사람	고객·손님
12030403	관리·운영	사람	고객·손님
12030404	관리·운영	사람	고객·손님
12030405	관리·운영	사람	고객·손님
12040101	만들기	창작물	
12040201	관리·운영	기계·설비	
12040202	관리·운영	사람	고객·손님
12040301	가르치기	사람	학습자
12040302	가르치기	사람	학습자
12040303	돕기·돌봄	사람	환자·장애인
12040304	분석·연구	컴퓨터·데이터	
12040305	관리·운영	사람	고객·손님
12040306	돕기·돌봄	사람	고객·손님
12040307	만들기	컴퓨터·데이터	
12040308	만들기	컴퓨터·데이터	
12040309	돕기·돌봄	사람	고객·손님
12040401	관리·운영	사람	고객·손님
12040402	관리·운영	숫자·문서	
12040403	판매·설득	사람	고객·손님
12040404	관리·운영	컴퓨터·데이터	
12040501	가르치기	사람	학습자
13010100	만들기	창작물	
13010101	만들기	창작물	
13010102	만들기	창작물	
13010103	만들기	창작물	
13010104	만들기	창작물	
13010105	만들기	창작물	
13010201	판매·설득	사람	고객·손님
13010202	판매·설득	사람	고객·손님
13010203	관리·운영	창작물	
13010204	만들기	창작물	
13010205	표현·창작	창작물	
13010301	관리·운영	숫자·문서	
14010101	관리·운영	숫자·문서	
14010201	관리·운영	숫자·문서	
14010202	분석·연구	숫자·문서	
14010203	관리·운영	자연·생물	
14010204	관리·운영	숫자·문서	
14010301	고치기·정비	기계·설비	
14010401	표현·창작	컴퓨터·데이터	
14010402	관리·운영	컴퓨터·데이터	
14010403	관리·운영	기계·설비	
14020101	표현·창작	숫자·문서	
14020102	표현·창작	숫자·문서	
14020103	표현·창작	숫자·문서	
14020104	표현·창작	숫자·문서	
14020105	표현·창작	숫자·문서	
14020106	분석·연구	숫자·문서	
14020107	분석·연구	숫자·문서	
14020108	분석·연구	숫자·문서	
14020109	분석·연구	숫자·문서	
14020110	분석·연구	숫자·문서	
14020111	관리·운영	숫자·문서	
14020112	표현·창작	창작물	
14020201	만들기	기계·설비	
14020202	고치기·정비	기계·설비	
14020203	만들기	기계·설비	
14020204	만들기	창작물	
14020205	만들기	창작물	
14020206	만들기	창작물	
14020207	만들기	창작물	
14020208	만들기	창작물	
14020209	만들기	창작물	
14020210	운전·조작	기계·설비	
14020211	만들기	창작물	
14020301	분석·연구	숫자·문서	
14020302	분석·연구	숫자·문서	
14020303	분석·연구	컴퓨터·데이터	
14020304	분석·연구	컴퓨터·데이터	
14030101	표현·창작	창작물	
14030102	분석·연구	숫자·문서	
14030103	관리·운영	숫자·문서	
14030104	표현·창작	창작물	
14030201	만들기	창작물	
14030202	만들기	창작물	
14030203	고치기·정비	창작물	
14030204	만들기	창작물	
14030205	만들기	창작물	
14030206	만들기	창작물	
14030207	만들기	창작물	
14030208	만들기	창작물	
14030209	만들기	창작물	
14030210	만들기	창작물	
14030211	만들기	창작물	
14030212	만들기	창작물	
14030213	만들기	창작물	
14030214	만들기	창작물	
14030215	만들기	창작물	
14030216	만들기	창작물	
14030217	만들기	창작물	
14030301	분석·연구	숫자·문서	
14030302	만들기	기계·설비	
14030303	관리·운영	숫자·문서	
14030304	고치기·정비	기계·설비	
14030305	만들기	기계·설비	
14040101	분석·연구	숫자·문서	
14040102	분석·연구	숫자·문서	
14040103	분석·연구	기계·설비	
14040104	분석·연구	기계·설비	
14040105	분석·연구	기계·설비	
14040106	관리·운영	기계·설비	
14040107	분석·연구	기계·설비	
14040201	만들기	기계·설비	
14040202	만들기	기계·설비	
14040203	만들기	기계·설비	
